policy,total_cost,fill_rate,cost_saving_vs_rule,revenue_vs_rule,mode,holding_frac,stockout_frac
Rule of thumb,39648.88376581254,0.8632802586058026,0.0,0.0,lead time 0,0.01,0.15
ML point,37534.17451046957,0.8731849138081096,0.053335908971197554,0.008913297332517667,lead time 0,0.01,0.15
ML newsvendor,46753.97445984149,0.8346313205936127,-0.1792002704539024,-0.028764176950895726,lead time 0,0.01,0.15
ML + LP,31228.764851241755,0.8490524374814263,0.2123671113745471,0.04344077951831693,lead time 0,0.01,0.15
Rule of thumb,75071.31762272015,0.8632802586058026,0.0,0.0,lead time 0,0.01,0.3
ML point,70935.83118023904,0.8731849138081096,0.05508743649957615,0.008913297332517667,lead time 0,0.01,0.3
ML newsvendor,91049.28731519789,0.8302368170504124,-0.2128372086497392,-0.0337855757179526,lead time 0,0.01,0.3
ML + LP,57111.69144826005,0.844298442837468,0.239234194139476,0.043361621984582266,lead time 0,0.01,0.3
Rule of thumb,122301.2294319303,0.8632802586058026,0.0,0.0,lead time 0,0.01,0.5
ML point,115471.37340659833,0.8731849138081096,0.05584454103246195,0.008913297332517667,lead time 0,0.01,0.5
ML newsvendor,148492.12304667596,0.8302368170504124,-0.21415069771905126,-0.0337855757179526,lead time 0,0.01,0.5
ML + LP,91137.64668221738,0.8431857651666441,0.2548100529689096,0.04360368311329155,lead time 0,0.01,0.5
Rule of thumb,43875.33367471748,0.8632802586058026,0.0,0.0,lead time 0,0.02,0.15
ML point,41666.69235116969,0.8731849138081096,0.05033902055132389,0.008913297332517667,lead time 0,0.02,0.15
ML newsvendor,46531.398882358764,0.851922222585724,-0.06053663836115275,-0.009190483945542893,lead time 0,0.02,0.15
ML + LP,36701.35974291028,0.8554119869198636,0.16350813386385932,0.04128406075036417,lead time 0,0.02,0.15
Rule of thumb,79297.76753162508,0.8632802586058026,0.0,0.0,lead time 0,0.02,0.3
ML point,75068.34902093915,0.8731849138081096,0.053335908971197554,0.008913297332517667,lead time 0,0.02,0.3
ML newsvendor,93507.94891968298,0.8346313205936127,-0.1792002704539024,-0.028764176950895726,lead time 0,0.02,0.3
ML + LP,62445.019524411706,0.849111244777243,0.21252487342083448,0.04347965125990805,lead time 0,0.02,0.3
Rule of thumb,126527.67934083524,0.8632802586058026,0.0,0.0,lead time 0,0.02,0.5
ML point,119603.89124729844,0.8731849138081096,0.05472152915162365,0.008913297332517667,lead time 0,0.02,0.5
ML newsvendor,153377.15676465674,0.8302368170504124,-0.21220240159068626,-0.0337855757179526,lead time 0,0.02,0.5
ML + LP,96857.35976582316,0.8453872765947889,0.23449667084375547,0.04360855914669304,lead time 0,0.02,0.5
Rule of thumb,56487.32921710007,0.8576742292796748,0.0,0.0,lead time 0,0.05,0.15
ML point,53853.74789211895,0.8683834456732383,0.04662251449098209,0.009967661703006225,lead time 0,0.05,0.15
ML newsvendor,53934.05503325863,0.8697690995830177,0.04520083033184907,0.017541594242798553,lead time 0,0.05,0.15
ML + LP,51176.35885621568,0.867260698965402,0.09402056061940056,0.03906647316205958,lead time 0,0.05,0.15
Rule of thumb,91977.1172583399,0.8632802586058026,0.0,0.0,lead time 0,0.05,0.3
ML point,87465.9025430395,0.8731849138081096,0.04904714183017467,0.008913297332517667,lead time 0,0.05,0.3
ML newsvendor,93855.20691307922,0.858229145292027,-0.020419096735378783,-0.0022014866681565604,lead time 0,0.05,0.3
ML + LP,78690.53945924633,0.8582245979688101,0.1444552536015563,0.039828183277199836,lead time 0,0.05,0.3
Rule of thumb,139207.02906755006,0.8632802586058026,0.0,0.0,lead time 0,0.05,0.5
ML point,132001.44476939877,0.8731849138081096,0.051761641250563484,0.008913297332517667,lead time 0,0.05,0.5
ML newsvendor,155071.13237786765,0.8439502083631575,-0.11396050484361342,-0.018189132941160535,lead time 0,0.05,0.5
ML + LP,113268.31281789523,0.8522710731752727,0.18633194331780545,0.042543587755266454,lead time 0,0.05,0.5
Rule of thumb,40521.828991674505,0.8104179884325928,0.0,0.0,lead time 1 week,0.01,0.15
ML point,39380.75274548575,0.820721109847876,0.02815954448707636,0.006716353571250222,lead time 1 week,0.01,0.15
ML newsvendor,44255.448167777,0.7915637374806399,-0.09213846632810174,-0.021554606596849157,lead time 1 week,0.01,0.15
ML + LP,35408.58647155394,0.8005808719065292,0.12618488965962305,0.03759080979900786,lead time 1 week,0.01,0.15
Rule of thumb,76726.62356189442,0.8104179884325928,0.0,0.0,lead time 1 week,0.01,0.3
ML point,74503.45230724651,0.820721109847876,0.028975225957317274,0.006716353571250222,lead time 1 week,0.01,0.3
ML newsvendor,85254.67748832228,0.7881384435281832,-0.1111485626569817,-0.025543326475169215,lead time 1 week,0.01,0.3
ML + LP,65286.86381710795,0.7979491231445967,0.14909765624650684,0.038920632964634105,lead time 1 week,0.01,0.3
Rule of thumb,124999.6829888543,0.8104179884325928,0.0,0.0,lead time 1 week,0.01,0.5
ML point,121333.71838959417,0.820721109847876,0.029327791171974482,0.006716353571250222,lead time 1 week,0.01,0.5
ML newsvendor,139014.90209303363,0.7881384435281832,-0.11212203718491831,-0.025543326475169215,lead time 1 week,0.01,0.5
ML + LP,105073.47336980212,0.7962393824526951,0.1594100812305974,0.03929656165932438,lead time 1 week,0.01,0.5
Rule of thumb,44838.8634131291,0.8104179884325928,0.0,0.0,lead time 1 week,0.02,0.15
ML point,43617.239953600794,0.8201502039234312,0.027244746332499625,0.005964781372063799,lead time 1 week,0.02,0.15
ML newsvendor,46055.62729650404,0.8049212226626866,-0.0271363676675771,-0.00609956058582084,lead time 1 week,0.02,0.15
ML + LP,40679.25827515018,0.8051185809361788,0.092767854074574,0.03525401187455057,lead time 1 week,0.02,0.15
Rule of thumb,81043.65798334901,0.8104179884325928,0.0,0.0,lead time 1 week,0.02,0.3
ML point,78761.5054909715,0.820721109847876,0.02815954448707636,0.006716353571250222,lead time 1 week,0.02,0.3
ML newsvendor,88510.896335554,0.7915637374806399,-0.09213846632810174,-0.021554606596849157,lead time 1 week,0.02,0.3
ML + LP,70820.01583231756,0.8005882835664325,0.12614981116883905,0.03758102909754557,lead time 1 week,0.02,0.3
Rule of thumb,129316.71741030889,0.8104179884325928,0.0,0.0,lead time 1 week,0.02,0.5
ML point,125591.77157331916,0.820721109847876,0.02880482826648667,0.006716353571250222,lead time 1 week,0.02,0.5
ML newsvendor,143629.24267428892,0.7881384435281832,-0.1106780743480198,-0.025543326475169215,lead time 1 week,0.02,0.5
ML + LP,110681.07649164919,0.7985471727955206,0.1441085212481128,0.038656493274874304,lead time 1 week,0.02,0.5
Rule of thumb,57386.62994895695,0.8062815645381968,0.0,0.0,lead time 1 week,0.05,0.15
ML point,56173.08459641993,0.8130767636589259,0.021146830779511072,0.0021173232032178912,lead time 1 week,0.05,0.15
ML newsvendor,56097.633600499874,0.8185455409625233,0.022461614309876476,0.015389049887891249,lead time 1 week,0.05,0.15
ML + LP,54942.80055538579,0.8164342109176554,0.042585344282193405,0.032018448791154785,lead time 1 week,0.05,0.15
Rule of thumb,93994.76124771278,0.8104179884325928,0.0,0.0,lead time 1 week,0.05,0.3
ML point,91421.20590182184,0.8201502039234312,0.027379774273894042,0.005964781372063799,lead time 1 week,0.05,0.3
ML newsvendor,94571.55773625543,0.8096557793631391,-0.006136474851216045,-0.0007385995768454112,lead time 1 week,0.05,0.3
ML + LP,86701.51249748096,0.8068719699332157,0.07759207697768689,0.03281110855265834,lead time 1 week,0.05,0.3
Rule of thumb,142267.82067467266,0.8104179884325928,0.0,0.0,lead time 1 week,0.05,0.5
ML point,138365.93112449415,0.820721109847876,0.027426367619006853,0.006716353571250222,lead time 1 week,0.05,0.5
ML newsvendor,150210.93497508054,0.7988688776724822,-0.05583212185819297,-0.013088893402504076,lead time 1 week,0.05,0.5
ML + LP,127062.90038507037,0.8025610307632718,0.10687533004650263,0.03621552242200532,lead time 1 week,0.05,0.5
