,gain_share
roll_mean_56,0.5694935252462926
item_id,0.11512551280194262
roll_mean_28,0.11040655077819153
roll_std_28,0.07348282694054027
roll_mean_7,0.02735508967069456
lag_35,0.012346042288589012
weekofyear,0.011092163329015301
lag_28,0.010205382672098218
lag_364,0.009791000671678408
price_rel_mean,0.0097597868861098
dow,0.009687725813094277
store_id,0.009097324057178165
zero_rate_28,0.006726004157698829
sell_price,0.004765990184259635
price_rel_max,0.004704542771193582
month,0.004596637848248438
lag_42,0.002691819563075094
dom,0.002650870661268172
price_change_7,0.001889325273649212
lag_49,0.001368167724739439
lag_56,0.0013155120441773014
event_type,0.0009821151270537184
snap,0.0003285523556294721
event,0.00013753113358231037
