policy,demand,sold,lost_units,ending_stock,holding_cost,stockout_cost,revenue,total_cost,fill_rate,avg_weekly_stock,cost_saving_vs_rule,capacity_multiplier
ML + LP,704289.0,544838.4910107248,159450.50898927523,131160.50898927532,8992.219124285995,74671.46628373778,1498677.243654207,83663.68540802378,0.7736007392004203,10930.042415772943,0.23867627758423116,1.0
ML newsvendor,704289.0,534636.8170165847,169652.18298341538,141362.18298341538,7148.728599903693,123126.73420840806,1337159.683905306,130275.46280831176,0.7591156712891791,11780.181915284615,-0.18548208581723458,1.0
ML point,704289.0,570646.7494387472,133642.25056125288,105352.25056125285,5476.601697934448,99764.35298908426,1415034.2879697187,105240.9546870187,0.8102451542459802,8779.354213437737,0.04232720585810845,1.0
Rule of thumb,704289.0,562977.1872164597,141311.8127835403,109929.30310798375,5492.424663931812,104399.96794738622,1399582.2381087122,109892.39261131804,0.799355360109926,9160.775258998647,0.0,1.0
ML + LP,704289.0,598019.7094729197,106269.2905270803,179379.14052708025,11315.120153501925,51129.899370909785,1577149.1333636336,62445.019524411706,0.849111244777243,14948.26171059002,0.21252487342083448,1.15
ML newsvendor,704289.0,587821.6581495549,116467.34185044514,189577.19185044506,9620.547018857369,83887.40190082561,1467957.4582639143,93507.94891968298,0.8346313205936127,15798.099320870422,-0.1792002704539024,1.15
ML point,704289.0,614974.5297609997,89314.47023900034,161341.06618470247,8265.035681400232,66803.31333953892,1524904.4201348699,75068.34902093915,0.8731849138081096,13445.088848725207,0.053335908971197554,1.15
Rule of thumb,704289.0,607998.7900532221,96290.20994677792,169400.05994677785,8452.899817809875,70844.86771381521,1511432.5722206156,79297.76753162508,0.8632802586058026,14116.671662231487,0.0,1.15
ML + LP,704289.0,635252.5182386532,69036.48176134683,243546.18176134696,14598.312878675984,34615.891823201586,1632195.8251893276,49214.20470187757,0.9019770552126374,20295.515146778915,0.19886383713032785,1.3
ML newsvendor,704289.0,629141.3049280558,75147.69507194414,249657.39507194413,12686.27243002653,53651.00172575691,1568745.4588474766,66337.27415578344,0.8932999165513814,20804.782922662012,-0.079874999389562,1.3
ML point,704289.0,643419.1664316377,60869.83356836231,228802.98516686977,11603.016912131483,45480.59231437174,1595980.1568854272,57083.60922650322,0.9135726476370322,19066.91543057248,0.07076129878559445,1.3
Rule of thumb,704289.0,636382.5551218998,67906.44487810013,238838.45465614615,11897.376881926773,49533.135161858816,1582471.680727137,61430.51204378559,0.9035815625714725,19903.204554678847,0.0,1.3
ML + LP,704289.0,666114.4258084095,38174.574191590546,346897.43702057656,19521.611426854313,20020.260654072994,1680847.929086423,39541.87208092731,0.9457970035147638,28908.119751714712,0.2132009425915824,1.5
ML newsvendor,704289.0,665545.8504375023,38743.1495624978,346350.26346449193,17583.381447969587,27367.90850098076,1656355.7695967304,44951.28994895035,0.9449896994522167,28862.521955374326,0.10556504535894518,1.5
ML point,704289.0,667029.9776517418,37259.02234825822,339828.88653852366,17119.077656323137,27744.40098109434,1655100.7946630185,44863.47863741747,0.9470969696413573,28319.073878210304,0.10731230348072707,1.5
Rule of thumb,704289.0,658890.8474712393,45398.15252876067,351286.02676143416,17490.784354618005,32765.84941814161,1638362.6332061943,50256.63377275961,0.9355404492633553,29273.835563452845,0.0,1.5
ML + LP,704289.0,690164.8898732379,14124.110126762063,487033.5548854054,24666.47438220489,9894.283250435627,1714601.1870985476,34560.75763264052,0.9799455761388264,40586.129573783786,0.2442939672261759,inf
ML newsvendor,704289.0,688656.9325657012,15632.067434298739,462825.87778885005,23447.439843013653,10957.45616572954,1711057.2773809012,34404.89600874319,0.9778044702752722,38568.823149070835,0.24770203977797356,inf
ML point,704289.0,684116.4533370896,20172.54666291032,478231.40890590224,23937.124259525594,14935.401530679608,1697797.4594977342,38872.5257902052,0.9713575724412701,39852.61740882519,0.15001278151755237,inf
Rule of thumb,704289.0,674079.2000000001,30209.799999999996,480149.60000000003,23947.61616573283,21785.454808684328,1674963.948571052,45733.07097441716,0.9571059607632663,40012.46666666667,0.0,inf
